<2024-01-08 15:54:20> Load machine configuration '../userdata/conf/machine.xml'
<2024-01-08 15:54:28> Load machine configuration '..\userdata\conf\machine_geov5.xml'
<2024-01-08 15:54:28> BT1 = X:-46.55967999999999, Y:13.754999999999994, T:-90.0, Val:CR2032, Mod:WURTH_CR2032_79527141
R15 = X:-62.23, Y:4.429999999999988, T:180.0, Val:1K 1%, Mod:R_0805_2012Metric
R16 = X:-68.38999999999999, Y:31.99599999999999, T:0.0, Val:120K 1%, Mod:R_0805_2012Metric
R17 = X:-68.136, Y:44.94999999999999, T:0.0, Val:120K 1%, Mod:R_0805_2012Metric
R18 = X:-28.721000000000018, Y:113.4408, T:0.0, Val:270K 1%, Mod:R_0805_2012Metric
R19 = X:-23.895000000000017, Y:113.4408, T:180.0, Val:820K 1%, Mod:R_0805_2012Metric
R20 = X:-18.66500000000002, Y:113.4408, T:180.0, Val:560K 1%, Mod:R_0805_2012Metric
R21 = X:-28.721000000000018, Y:116.6628, T:0.0, Val:1M 1%, Mod:R_0805_2012Metric
R22 = X:-18.66500000000002, Y:124.3628, T:180.0, Val:130K 1%, Mod:R_0805_2012Metric
R23 = X:-47.590000000000025, Y:153.46, T:0.0, Val:1M 1%, Mod:R_0805_2012Metric
R24 = X:-22.87900000000002, Y:124.3628, T:0.0, Val:1M2 1%, Mod:R_0805_2012Metric
R25 = X:-43.845600000000026, Y:151.3332, T:-90.0, Val:1K 1%, Mod:R_0805_2012Metric
R26 = X:-26.58510000000002, Y:124.37039999999999, T:0.0, Val:560K 1%, Mod:R_0805_2012Metric
R29 = X:-6.590000000000015, Y:103.46000000000001, T:180.0, Val:10K 1%, Mod:R_0805_2012Metric
R30 = X:-43.839680000000016, Y:135.585, T:90.0, Val:10K 1%, Mod:R_0805_2012Metric
R31 = X:-6.590000000000015, Y:100.46000000000001, T:180.0, Val:120K 1%, Mod:R_0805_2012Metric
R32 = X:-10.590000000000016, Y:103.46000000000001, T:0.0, Val:120K 1%, Mod:R_0805_2012Metric
R33 = X:-14.590000000000018, Y:116.46000000000001, T:90.0, Val:1M NM, Mod:R_0805_2012Metric
R34 = X:-6.590000000000018, Y:114.46000000000001, T:0.0, Val:1K 1%, Mod:R_0805_2012Metric
R35 = X:-6.590000000000018, Y:117.46000000000001, T:180.0, Val:2K NM, Mod:R_0805_2012Metric
R36 = X:-45.339840000000024, Y:115.25976, T:0.0, Val:10M 1%, Mod:R_0805_2012Metric
R37 = X:-41.68984000000002, Y:116.19976, T:90.0, Val:1M 1%, Mod:R_0805_2012Metric
